index,key,english,thai,status,notes
2082,Instructions/100,Rusty nails in the bones,ตะปูขึ้นสนิมในกระดูก,draft,
2083,Instructions/101,Rusty metal bones,กระดูกโลหะขึ้นสนิม,draft,
2084,Instructions/102,Blue electrical tape on the internal organs,เทปพันสายไฟสีฟ้าบนอวัยวะภายใน,draft,
2085,Instructions/103,Packaged lung,ปอดบรรจุหีบห่อ,draft,
2086,Instructions/104,Packaged liver,ตับบรรจุหีบห่อ,draft,
2087,Instructions/105,Plumes of smoke in the photo,กลุ่มควันในภาพถ่าย,draft,
2088,Instructions/106,Makeshift space rift repair in the photo,รอยซ่อมรอยแยกอวกาศแบบชั่วคราวในภาพถ่าย,draft,
2089,Instructions/107,Erythrocytus Necroticus in the blood,Erythrocytus Necroticus ในเลือด,draft,
2090,Instructions/108,Taenia Caerulea in the blood,Taenia Caerulea ในเลือด,draft,
2091,Instructions/109,Larva Locustarum in the blood,Larva Locustarum ในเลือด,draft,
2092,Instructions/110,Mushroom Fairy in the Photo,ภูตเห็ดในภาพถ่าย,draft,
2093,Instructions/111,Bone Replaced with Fungal Honeycomb,กระดูกถูกแทนที่ด้วยโครงรังผึ้งของเชื้อรา,draft,
2094,Instructions/112,Inky Heart,หัวใจสีหมึก,draft,
2095,Instructions/113,Morel Transformation of the Kidney,ไตแปรสภาพเป็นเห็ดมอเรล,draft,
2096,Instructions/114,Blood-Fungal Transformation of the Liver,ตับแปรสภาพเป็นเชื้อราในเลือด,draft,
2097,Instructions/115,Malicious Fungal Stomach,กระเพาะอาหารเชื้อราร้าย,draft,
2098,Instructions/116,Mold Growth on the Lung,ราขึ้นบนปอด,draft,
2099,Instructions/117,Yellow Moss on the Skin,มอสสีเหลืองบนผิวหนัง,draft,
2100,Instructions/118,Necrotic Affliction of the Skin,ผิวหนังเป็นเนื้อตาย,draft,
2101,Instructions/119,Blood Bubbles in the Photo,ฟองเลือดในภาพถ่าย,draft,
2102,Instructions/120,Clot of Biomass in the Photo,ก้อนชีวมวลในภาพถ่าย,draft,
2103,Instructions/121,Observer Cube in the Photo,ลูกบาศก์ผู้สังเกตการณ์ในภาพถ่าย,draft,
2104,Instructions/122,Holographic Panel in the Photo,แผงโฮโลกราฟิกในภาพถ่าย,draft,
2105,Instructions/123,Giant Mushroom in the Photo,เห็ดยักษ์ในภาพถ่าย,draft,
2106,Instructions/124,Kombucha in the Photo,คอมบูชาในภาพถ่าย,draft,
2107,Instructions/125,Cobweb in the Photo,ใยแมงมุมในภาพถ่าย,draft,
2108,Instructions/126,Bronze Beetle in the Photo,ด้วงทองแดงในภาพถ่าย,draft,
2109,Instructions/127,Macrophagus Pakumanii in the Blood,Macrophagus Pakumanii ในเลือด,draft,
2110,Instructions/128,Vermis Orbitans in the Blood,Vermis Orbitans ในเลือด,draft,
2111,Instructions/129,Quadratum Caeruleum in the Blood,Quadratum Caeruleum ในเลือด,draft,
2112,Instructions/130,Quadratum Purpureum in the Blood,Quadratum Purpureum ในเลือด,draft,
2113,Instructions/131,Sphaera Ferromorpha in the Blood,Sphaera Ferromorpha ในเลือด,draft,
2114,Instructions/132,Symbion Oculus in the Blood,Symbion Oculus ในเลือด,draft,
2115,Instructions/133,Tentaculum Infectans in the Blood,Tentaculum Infectans ในเลือด,draft,
2116,Instructions/134,Erythrocytus Cyberneticus in the Blood,Erythrocytus Cyberneticus ในเลือด,draft,
2117,Instructions/135,Octodiscus Aureus in the Blood,Octodiscus Aureus ในเลือด,draft,
2118,Instructions/136,Erythrocytus Cognitivus in the Blood,Erythrocytus Cognitivus ในเลือด,draft,
2119,Instructions/137,Culex Replicator in the Blood,Culex Replicator ในเลือด,draft,
2120,Instructions/138,Bombus Metallicus in the Blood,Bombus Metallicus ในเลือด,draft,
2121,Instructions/139,Flos Metallicus in the Blood,Flos Metallicus ในเลือด,draft,
2122,Instructions/140,Erythrocytus Ligatus in the Blood,Erythrocytus Ligatus ในเลือด,draft,
2123,Instructions/141,Taenia Nigra in the Blood,Taenia Nigra ในเลือด,draft,
2124,Instructions/142,Examen Viride in the Blood,Examen Viride ในเลือด,draft,
2125,Instructions/143,Erythrocytus Fragmentatus in the Blood,Erythrocytus Fragmentatus ในเลือด,draft,
2126,Instructions/144,Erythrocytus Telemetricus in the Blood,Erythrocytus Telemetricus ในเลือด,draft,
2127,Instructions/145,Regina Examinis in the Blood,Regina Examinis ในเลือด,draft,
2128,Instructions/146,Mucus Animatus in the Blood,Mucus Animatus ในเลือด,draft,
2129,Instructions/147,Erythrocytus Mucosus in the Blood,Erythrocytus Mucosus ในเลือด,draft,
2130,Instructions/148,Overheated Plates on the Skin,แผ่นโลหะร้อนจัดบนผิวหนัง,draft,
2131,Instructions/149,Scarlet Scars on the Skin,แผลเป็นสีแดงสดบนผิวหนัง,draft,
2132,Instructions/150,Degraded Skeletal Implants,อวัยวะเทียมโครงกระดูกเสื่อมสภาพ,draft,
2133,Instructions/151,Decompensated Augmentation of the Brain,การเสริมสภาพสมองที่เสียการชดเชย,draft,
2134,Instructions/152,Decompensated Augmentation of the Kidney,การเสริมสภาพไตที่เสียการชดเชย,draft,
2135,Instructions/153,Decompensated Augmentation of the Stomach,การเสริมสภาพกระเพาะอาหารที่เสียการชดเชย,draft,
2136,Instructions/154,Decompensated Bagisation of the Liver,การบรรจุถุงตับที่เสียการชดเชย,draft,
2137,Instructions/155,Decompensated Bagisation of the Lung,การบรรจุถุงปอดที่เสียการชดเชย,draft,
2138,Instructions/156,Decompensated Augmentation of the Heart,การเสริมสภาพหัวใจที่เสียการชดเชย,draft,
2139,Instructions/157,Advanced Chipization of the Skin,การฝังชิปขั้นสูงในผิวหนัง,draft,
2140,Instructions/158,Advanced Chipization of the Bone,การฝังชิปขั้นสูงในกระดูก,draft,
2141,Instructions/159,Advanced Chipization of Internal Organs,การฝังชิปขั้นสูงในอวัยวะภายใน,draft,
2142,Instructions/160,Advanced Tariffication of the Liver,การแปรสภาพทาริฟฟิเคชันขั้นสูงของตับ,draft,
2143,Instructions/161,Insectomorphic Transformation of Internal Organs,อวัยวะภายในแปรสภาพเป็นเผ่าแมลง,draft,
2144,Instructions/162,Chitin-Like Scales on the Skin,เกล็ดคล้ายไคตินบนผิวหนัง,draft,
2145,Instructions/163,Technomorphic Skeletal Implants,อวัยวะเทียมโครงกระดูกแปรสภาพด้วยเทคโนโลยี,draft,
2146,Instructions/164,Technomorphic Organoids,ออร์แกนอยด์แปรสภาพด้วยเทคโนโลยี,draft,
2147,Instructions/165,Solar Bloom in the Photo,ดอกสุริยะในภาพถ่าย,draft,
2148,Instructions/166,White Hexoids on the Skin,เฮกซอยด์สีขาวบนผิวหนัง,draft,
2149,Instructions/167,Ultra-Technological Bone Structures,โครงสร้างกระดูกเทคโนโลยีล้ำยุค,draft,
2150,Instructions/168,Ultra-Technological Modification of Organs,อวัยวะดัดแปลงด้วยเทคโนโลยีล้ำยุค,draft,
2151,Instructions/169,Digital Spatial Rupture in the Photo,รอยแยกมิติดิจิทัลในภาพถ่าย,draft,
2152,Instructions/170,Technosymbiotic Transformation of the Bone Tissue,เนื้อเยื่อกระดูกแปรสภาพแบบพึ่งพาเทคโนโลยี,draft,
2153,Instructions/171,Technosymbiotic Transformation of Internal Organs,อวัยวะภายในแปรสภาพแบบพึ่งพาเทคโนโลยี,draft,
2154,Instructions/172,Gray Tentacles in the Photo,หนวดสีเทาในภาพถ่าย,draft,
2155,Instructions/173,Mana-Bearing Crystal Growths on the Skin,ผลึกสะสมพลังเวทบนผิวหนัง,draft,
2156,Instructions/174,Honey-Sweet Transformation of the Bone Tissue,เนื้อเยื่อกระดูกแปรสภาพหวานดุจน้ำผึ้ง,draft,
2157,Instructions/175,Technomagical Transformation of Internal Organs,อวัยวะภายในแปรสภาพด้วยเวทเทคโนโลยี,draft,
2158,Instructions/176,All-Seeing Eyes on the Skin,ดวงตารู้เห็นทุกสิ่งบนผิวหนัง,draft,
2159,Instructions/177,Ectoplasmic Skeleton,โครงกระดูกเอกโทพลาซึม,draft,
2160,Instructions/178,Alchemical Transmutation of Internal Organs,อวัยวะภายในแปรธาตุแบบเล่นแร่แปรธาตุ,draft,
2161,Instructions/179,Alchemist's Skull,กะโหลกนักเล่นแร่แปรธาตุ,draft,
2162,Instructions/180,Demonic Fox in the Photo,จิ้งจอกปีศาจในภาพถ่าย,draft,
2163,Instructions/181,Cheshire Smile in the Photo,รอยยิ้มเชสเชียร์ในภาพถ่าย,draft,
2164,Instructions/182,Continuum Rupture on the Skin,รอยแยกภาวะต่อเนื่องบนผิวหนัง,draft,
2165,Instructions/183,Spectral Shift of the Bone Tissue,เนื้อเยื่อกระดูกเลื่อนเฟสสเปกตรัม,draft,
2166,Instructions/184,Continuum Shift of Internal Organs,อวัยวะภายในเลื่อนภาวะต่อเนื่อง,draft,
2167,Instructions/185,Universal Mechanism in the Spatial Rupture in the Photo,กลไกสากลในรอยแยกมิติในภาพถ่าย,draft,
2168,Instructions/186,Blood Type A+,กรุ๊ปเลือด A+,draft,
2169,Instructions/187,Blood Type B+,กรุ๊ปเลือด B+,draft,
2170,Instructions/188,Blood Type AB+,กรุ๊ปเลือด AB+,draft,
2171,Instructions/189,Blood Type O+,กรุ๊ปเลือด O+,draft,
2172,Instructions/190,Blood Type A-,กรุ๊ปเลือด A-,draft,
2173,Instructions/191,Blood Type B-,กรุ๊ปเลือด B-,draft,
2174,Instructions/192,Blood Type AB-,กรุ๊ปเลือด AB-,draft,
2175,Instructions/193,Blood Type O-,กรุ๊ปเลือด O-,draft,
2176,Instructions/194,Rapid Blood Test Type 0,ชุดตรวจเลือดเร่งด่วนชนิด 0,draft,
2177,Instructions/195,Rapid Blood Test Type 1,ชุดตรวจเลือดเร่งด่วนชนิด 1,draft,
2178,Instructions/196,Rapid Blood Test Type 2,ชุดตรวจเลือดเร่งด่วนชนิด 2,draft,
2179,Instructions/197,Rapid Blood Test Type 3,ชุดตรวจเลือดเร่งด่วนชนิด 3,draft,
2180,Instructions/198,Rapid Blood Test Type 4,ชุดตรวจเลือดเร่งด่วนชนิด 4,draft,
2181,Instructions/199,Rapid Blood Test Type 5,ชุดตรวจเลือดเร่งด่วนชนิด 5,draft,
2182,Instructions/200,Rapid Blood Test Type 6,ชุดตรวจเลือดเร่งด่วนชนิด 6,draft,
2183,Instructions/201,Rapid Blood Test Type 7,ชุดตรวจเลือดเร่งด่วนชนิด 7,draft,
2184,Instructions/202,Sphaera Numinis Aurei in the blood,Sphaera Numinis Aurei ในเลือด,draft,
2185,Instructions/203,Erythrocytus Psionicus in the blood,Erythrocytus Psionicus ในเลือด,draft,
2186,Instructions/204,Spora Satanica in the blood,Spora Satanica ในเลือด,draft,
2187,Instructions/205,Erythrocytus Mycoticus in the blood,Erythrocytus Mycoticus ในเลือด,draft,
2188,Instructions/206,Erythrocytus Ignitus in the blood,Erythrocytus Ignitus ในเลือด,draft,
2189,Instructions/207,Crystallus Arcanus in the blood,Crystallus Arcanus ในเลือด,draft,
2190,Instructions/208,Erythrocytus Arcanus in the blood,Erythrocytus Arcanus ในเลือด,draft,
2191,Instructions/209,Phantasma Vorax in the blood,Phantasma Vorax ในเลือด,draft,
2192,Instructions/210,Erythrocytus Vacuus in the blood,Erythrocytus Vacuus ในเลือด,draft,
2193,Instructions/211,Folium Incantatum in the blood,Folium Incantatum ในเลือด,draft,
2194,Instructions/212,Erythrocytus Sigillatus in the blood,Erythrocytus Sigillatus ในเลือด,draft,
2195,Instructions/213,Erythrocytus Digitalis in the blood,Erythrocytus Digitalis ในเลือด,draft,
2196,Instructions/214,Virus Memeticum in the blood,Virus Memeticum ในเลือด,draft,
2197,Instructions/215,Erythrocytus Quadratus in the blood,Erythrocytus Quadratus ในเลือด,draft,
2198,Instructions/216,"Microelement, hazard level 1",จุลธาตุ ระดับอันตราย 1,draft,
2199,Instructions/217,"Microelement, hazard level 2",จุลธาตุ ระดับอันตราย 2,draft,
2200,Instructions/218,"Microelement, hazard level 3",จุลธาตุ ระดับอันตราย 3,draft,
2201,Instructions/219,"Microelement, hazard level 4",จุลธาตุ ระดับอันตราย 4,draft,
2202,Instructions/220,"Microelement, hazard level 5",จุลธาตุ ระดับอันตราย 5,draft,
2203,Instructions/221,"Microelement, hazard level 6",จุลธาตุ ระดับอันตราย 6,draft,
2204,Instructions/222,"Microelement, hazard level 2 or higher",จุลธาตุ ระดับอันตราย 2 ขึ้นไป,draft,
2205,Instructions/223,"Microelement, hazard level 3 or higher",จุลธาตุ ระดับอันตราย 3 ขึ้นไป,draft,
2206,Instructions/224,"Microelement, hazard level 4 or higher",จุลธาตุ ระดับอันตราย 4 ขึ้นไป,draft,
2207,Instructions/225,"Microelement, hazard level 5 or higher",จุลธาตุ ระดับอันตราย 5 ขึ้นไป,draft,
2208,Instructions/226,"Microelement, hazard level 6 or higher",จุลธาตุ ระดับอันตราย 6 ขึ้นไป,draft,
2209,Instructions/227,"Microelement, Organoid class",จุลธาตุ ชั้นออร์แกนอยด์,draft,
2210,Instructions/228,"Microelement, Parasite class",จุลธาตุ ชั้นปรสิต,draft,
2211,Instructions/229,"Microelement, Synthetic class",จุลธาตุ ชั้นสังเคราะห์,draft,
2212,Instructions/230,"Microelement, Mineral class",จุลธาตุ ชั้นแร่,draft,
2213,Instructions/231,"Microelement, [CLASSIFIED] class",จุลธาตุ ชั้น [CLASSIFIED],draft,
2214,Instructions/232,"Microelement, Swarm class",จุลธาตุ ชั้นฝูง,draft,
2215,Instructions/233,"Microelement, Metaphysical class",จุลธาตุ ชั้นอภิปรัชญา,draft,
2216,Instructions/234,Visitor's own fingerprints on papers,ลายนิ้วมือของผู้มาเยือนบนเอกสาร,draft,
2217,Instructions/235,Someone else's fingerprints on papers,ลายนิ้วมือของบุคคลอื่นบนเอกสาร,draft,
2218,Instructions/236,Visitor's own fingerprints on passport,ลายนิ้วมือของผู้มาเยือนบนหนังสือเดินทาง,draft,
2219,Instructions/237,Someone else's fingerprints on passport,ลายนิ้วมือของบุคคลอื่นบนหนังสือเดินทาง,draft,
2220,Instructions/238,Visitor's own fingerprints on pass,ลายนิ้วมือของผู้มาเยือนบนบัตรผ่าน,draft,
2221,Instructions/239,Someone else's fingerprints on pass,ลายนิ้วมือของบุคคลอื่นบนบัตรผ่าน,draft,
2222,Instructions/240,Metaphysical,อภิปรัชญา,draft,
2223,Instructions/241,,,untranslated,
2224,Instructions/242,,,untranslated,
2225,Instructions/243,,,untranslated,
2226,Instructions/244,,,untranslated,
2227,Instructions/245,,,untranslated,
2228,Instructions/246,,,untranslated,
2229,Instructions/247,,,untranslated,
2230,Instructions/248,,,untranslated,
2231,Instructions/249,,,untranslated,
2232,Instructions/250,,,untranslated,
2233,Instructions/251,,,untranslated,
2234,Instructions/252,,,untranslated,
2235,Instructions/253,,,untranslated,
2236,Instructions/254,,,untranslated,
2237,Instructions/255,,,untranslated,
2238,Instructions/256,,,untranslated,
2239,Instructions/257,,,untranslated,
2240,Instructions/258,,,untranslated,
2241,Instructions/259,,,untranslated,
2242,Instructions/260,,,untranslated,
2243,Instructions/261,,,untranslated,
2244,Instructions/262,,,untranslated,
2245,Instructions/263,,,untranslated,
2246,Instructions/264,,,untranslated,
2247,Instructions/265,,,untranslated,
2248,Instructions/266,,,untranslated,
2249,Instructions/267,,,untranslated,
2250,Instructions/268,,,untranslated,
2251,Instructions/269,,,untranslated,
2252,Instructions/270,,,untranslated,
2253,Instructions/271,,,untranslated,
2254,Instructions/272,,,untranslated,
2255,Instructions/273,,,untranslated,
2256,Instructions/274,,,untranslated,
2257,Instructions/275,,,untranslated,
2258,Instructions/276,,,untranslated,
2259,Instructions/277,,,untranslated,
2260,Instructions/278,,,untranslated,
2261,Instructions/279,,,untranslated,
2262,Instructions/280,,,untranslated,
2263,Instructions/281,,,untranslated,
2264,Instructions/282,,,untranslated,
2265,Instructions/283,,,untranslated,
2266,Instructions/284,,,untranslated,
2267,Instructions/285,,,untranslated,
2268,Instructions/286,,,untranslated,
2269,Instructions/287,,,untranslated,
2270,Instructions/288,,,untranslated,
2271,Instructions/289,,,untranslated,
2272,Instructions/290,,,untranslated,
2273,Instructions/291,,,untranslated,
2274,Instructions/292,,,untranslated,
2275,Instructions/293,,,untranslated,
2276,Instructions/294,,,untranslated,
2277,Instructions/295,,,untranslated,
2278,Instructions/296,,,untranslated,
2279,Instructions/297,,,untranslated,
2280,Instructions/298,,,untranslated,
2281,Instructions/299,,,untranslated,
2282,Instructions/300,,,untranslated,
2283,Instructions/301,,,untranslated,
2284,Instructions/302,,,untranslated,
2285,Instructions/303,,,untranslated,
2286,Instructions/304,,,untranslated,
2287,Instructions/305,,,untranslated,
2288,Instructions/306,,,untranslated,
2289,Instructions/307,,,untranslated,
2290,Instructions/308,,,untranslated,
2291,Instructions/309,,,untranslated,
2292,Instructions/310,,,untranslated,
2293,Instructions/311,,,untranslated,
2294,Instructions/312,,,untranslated,
2295,Instructions/313,,,untranslated,
2296,Instructions/314,,,untranslated,
2297,Instructions/315,,,untranslated,
2298,Instructions/316,,,untranslated,
2299,Instructions/317,,,untranslated,
2300,Instructions/318,,,untranslated,
2301,Instructions/319,,,untranslated,
2302,Instructions/320,,,untranslated,
2303,Instructions/321,,,untranslated,
2304,Instructions/322,,,untranslated,
2305,Instructions/323,,,untranslated,
2306,Instructions/324,,,untranslated,
2307,Instructions/325,,,untranslated,
2308,Instructions/326,,,untranslated,
2309,Instructions/327,,,untranslated,
2310,Instructions/328,,,untranslated,
2311,Instructions/329,,,untranslated,
2312,Instructions/330,,,untranslated,
2313,Instructions/331,,,untranslated,
2314,Instructions/332,,,untranslated,
2315,Instructions/333,,,untranslated,
2316,Instructions/334,,,untranslated,
2317,Instructions/335,,,untranslated,
2318,Instructions/336,,,untranslated,
2319,Instructions/337,,,untranslated,
2320,Instructions/338,,,untranslated,
2321,Instructions/339,,,untranslated,
2322,Instructions/340,,,untranslated,
2323,Instructions/341,,,untranslated,
2324,Instructions/342,,,untranslated,
2325,Instructions/343,,,untranslated,
2326,Instructions/344,,,untranslated,
2327,Instructions/345,,,untranslated,
2328,Instructions/346,,,untranslated,
2329,Instructions/347,,,untranslated,
2330,Instructions/348,,,untranslated,
2331,Instructions/349,,,untranslated,
2332,Instructions/350,,,untranslated,
2333,Instructions/351,,,untranslated,
2334,Instructions/352,,,untranslated,
2335,Instructions/353,,,untranslated,
2336,Instructions/354,,,untranslated,
2337,Instructions/355,,,untranslated,
2338,Instructions/356,,,untranslated,
2339,Instructions/357,,,untranslated,
2340,Instructions/358,,,untranslated,
2341,Instructions/359,,,untranslated,
2342,Instructions/360,,,untranslated,
2343,Instructions/361,,,untranslated,
2344,Instructions/362,,,untranslated,
2345,Instructions/363,,,untranslated,
2346,Instructions/364,,,untranslated,
2347,Instructions/365,,,untranslated,
2348,Instructions/366,,,untranslated,
2349,Instructions/367,,,untranslated,
2350,Instructions/368,,,untranslated,
2351,Instructions/369,,,untranslated,
2352,Instructions/370,,,untranslated,
2353,Instructions/371,,,untranslated,
2354,Instructions/372,,,untranslated,
2355,Instructions/373,,,untranslated,
2356,Instructions/374,,,untranslated,
2357,Instructions/375,,,untranslated,
2358,Instructions/376,,,untranslated,
2359,Instructions/377,,,untranslated,
2360,Instructions/378,,,untranslated,
2361,Instructions/379,,,untranslated,
2362,Instructions/380,,,untranslated,
2363,Instructions/381,,,untranslated,
2364,Instructions/382,,,untranslated,
2365,Instructions/383,,,untranslated,
2366,Instructions/384,,,untranslated,
2367,Instructions/385,,,untranslated,
2368,Instructions/386,,,untranslated,
2369,Instructions/387,,,untranslated,
2370,Instructions/388,,,untranslated,
2371,Instructions/389,,,untranslated,
2372,Instructions/390,,,untranslated,
2373,Instructions/391,,,untranslated,
2374,Instructions/392,,,untranslated,
2375,Instructions/393,,,untranslated,
2376,Instructions/394,,,untranslated,
2377,Instructions/395,,,untranslated,
2378,Instructions/396,,,untranslated,
2379,Instructions/397,,,untranslated,
2380,Instructions/398,,,untranslated,
2381,Instructions/399,,,untranslated,
2382,Instructions/400,,,untranslated,
2383,Instructions/401,,,untranslated,
2384,Instructions/402,,,untranslated,
2385,Instructions/403,,,untranslated,
2386,Instructions/404,,,untranslated,
2387,Instructions/405,,,untranslated,
2388,Instructions/406,,,untranslated,
2389,Instructions/407,,,untranslated,
2390,Instructions/408,,,untranslated,
2391,Instructions/409,,,untranslated,
2392,Instructions/410,,,untranslated,
2393,Instructions/411,,,untranslated,
2394,Instructions/412,,,untranslated,
2395,Instructions/413,,,untranslated,
2396,Instructions/414,,,untranslated,
2397,Instructions/415,,,untranslated,
2398,Instructions/416,,,untranslated,
2399,Instructions/417,,,untranslated,
2400,Instructions/418,,,untranslated,
2401,Instructions/419,,,untranslated,
2402,Instructions/420,,,untranslated,
2403,Instructions/421,,,untranslated,
2404,Instructions/422,,,untranslated,
2405,Instructions/423,,,untranslated,
2406,Instructions/424,,,untranslated,
2407,Instructions/425,,,untranslated,
2408,Instructions/426,,,untranslated,
2409,Instructions/427,,,untranslated,
2410,Instructions/428,,,untranslated,
2411,Instructions/429,,,untranslated,
2412,Instructions/430,,,untranslated,
2413,Instructions/431,,,untranslated,
2414,Instructions/432,,,untranslated,
2415,Instructions/433,,,untranslated,
2416,Instructions/434,,,untranslated,
2417,Instructions/435,,,untranslated,
2418,Instructions/436,,,untranslated,
2419,Instructions/437,,,untranslated,
2420,Instructions/438,,,untranslated,
2421,Instructions/439,,,untranslated,
2422,Instructions/440,,,untranslated,
2423,Instructions/441,,,untranslated,
2424,Instructions/442,,,untranslated,
2425,Instructions/443,,,untranslated,
2426,Instructions/444,,,untranslated,
2427,Instructions/445,,,untranslated,
2428,Instructions/446,,,untranslated,
2429,Instructions/447,,,untranslated,
2430,Instructions/448,,,untranslated,
2431,Instructions/449,,,untranslated,
2432,Instructions/450,,,untranslated,
2433,Instructions/451,,,untranslated,
2434,Instructions/452,,,untranslated,
2435,Instructions/453,,,untranslated,
2436,Instructions/454,,,untranslated,
2437,Instructions/455,,,untranslated,
2438,Instructions/456,,,untranslated,
2439,Instructions/457,,,untranslated,
2440,Instructions/458,,,untranslated,
2441,Instructions/459,,,untranslated,
2442,Instructions/460,,,untranslated,
2443,Instructions/461,,,untranslated,
2444,Instructions/462,,,untranslated,
2445,Instructions/463,,,untranslated,
2446,Instructions/464,,,untranslated,
2447,Instructions/465,,,untranslated,
2448,Instructions/466,,,untranslated,
2449,Instructions/467,,,untranslated,
2450,Instructions/468,,,untranslated,
2451,Instructions/469,,,untranslated,
2452,Instructions/470,,,untranslated,
2453,Instructions/471,,,untranslated,
2454,Instructions/472,,,untranslated,
2455,Instructions/473,,,untranslated,
2456,Instructions/474,,,untranslated,
2457,Instructions/475,,,untranslated,
2458,Instructions/476,,,untranslated,
2459,Instructions/477,,,untranslated,
2460,Instructions/478,,,untranslated,
2461,Instructions/479,,,untranslated,
2462,Instructions/480,,,untranslated,
2463,Instructions/481,,,untranslated,
2464,Instructions/482,,,untranslated,
2465,Instructions/483,,,untranslated,
2466,Instructions/484,,,untranslated,
2467,Instructions/485,,,untranslated,
2468,Instructions/486,,,untranslated,
2469,Instructions/487,,,untranslated,
2470,Instructions/488,,,untranslated,
2471,Instructions/489,,,untranslated,
2472,Instructions/490,,,untranslated,
2473,Instructions/491,,,untranslated,
2474,Instructions/492,,,untranslated,
2475,Instructions/493,,,untranslated,
2476,Instructions/494,,,untranslated,
2477,Instructions/495,,,untranslated,
2478,Instructions/496,,,untranslated,
2479,Instructions/497,,,untranslated,
2480,Instructions/498,,,untranslated,
2481,Instructions/499,,,untranslated,
2482,Instructions/500,,,untranslated,
2483,Instructions/501,,,untranslated,
2484,Instructions/502,,,untranslated,
2485,Instructions/503,,,untranslated,
2486,Instructions/504,,,untranslated,
2487,Instructions/505,,,untranslated,
2488,Instructions/506,,,untranslated,
2489,Instructions/507,,,untranslated,
2490,Instructions/508,,,untranslated,
2491,Instructions/509,,,untranslated,
2492,Instructions/510,,,untranslated,
2493,Instructions/511,,,untranslated,
2494,Instructions/512,,,untranslated,
2495,Instructions/513,,,untranslated,
2496,Instructions/514,,,untranslated,
2497,Instructions/515,,,untranslated,
2498,Instructions/516,,,untranslated,
2499,Instructions/517,,,untranslated,
2500,Instructions/518,,,untranslated,
2501,Instructions/519,,,untranslated,
2502,Instructions/520,,,untranslated,
2503,Instructions/521,,,untranslated,
2504,Instructions/522,,,untranslated,
2505,Instructions/523,,,untranslated,
2506,Instructions/524,,,untranslated,
2507,Instructions/525,,,untranslated,
2508,Instructions/526,,,untranslated,
2509,Instructions/527,,,untranslated,
2510,Instructions/528,,,untranslated,
2511,Instructions/529,,,untranslated,
2512,Instructions/530,,,untranslated,
2513,Instructions/531,,,untranslated,
2514,Instructions/532,,,untranslated,
2515,Instructions/533,,,untranslated,
2516,Instructions/534,,,untranslated,
2517,Instructions/535,,,untranslated,
2518,Instructions/536,,,untranslated,
2519,Instructions/537,,,untranslated,
2520,Instructions/538,,,untranslated,
2521,Instructions/539,,,untranslated,
2522,Instructions/540,,,untranslated,
2523,Instructions/541,,,untranslated,
2524,Instructions/542,,,untranslated,
2525,Instructions/543,,,untranslated,
2526,Instructions/544,,,untranslated,
2527,Instructions/545,,,untranslated,
2528,Instructions/546,,,untranslated,
2529,Instructions/547,,,untranslated,
2530,Instructions/548,,,untranslated,
2531,Instructions/549,,,untranslated,
2532,Instructions/550,,,untranslated,
2533,Instructions/551,,,untranslated,
2534,Instructions/552,,,untranslated,
2535,Instructions/553,,,untranslated,
2536,Instructions/554,,,untranslated,
2537,Instructions/555,,,untranslated,
2538,Instructions/556,,,untranslated,
2539,Instructions/557,,,untranslated,
2540,Instructions/558,,,untranslated,
2541,Instructions/559,,,untranslated,
2542,Instructions/560,,,untranslated,
2543,Instructions/561,,,untranslated,
2544,Instructions/562,,,untranslated,
2545,Instructions/563,,,untranslated,
2546,Instructions/564,,,untranslated,
2547,Instructions/565,,,untranslated,
2548,Instructions/566,,,untranslated,
2549,Instructions/567,,,untranslated,
2550,Instructions/568,,,untranslated,
2551,Instructions/569,,,untranslated,
2552,Instructions/570,,,untranslated,
2553,Instructions/571,,,untranslated,
2554,Instructions/572,,,untranslated,
2555,Instructions/573,,,untranslated,
2556,Instructions/574,,,untranslated,
2557,Instructions/575,,,untranslated,
2558,Instructions/576,,,untranslated,
2559,Instructions/577,,,untranslated,
2560,Instructions/578,,,untranslated,
2561,Instructions/579,,,untranslated,
2562,Instructions/580,,,untranslated,
2563,Instructions/581,,,untranslated,
2564,Instructions/582,,,untranslated,
2565,Instructions/583,,,untranslated,
2566,Instructions/584,,,untranslated,
2567,Instructions/585,,,untranslated,
2568,Instructions/586,,,untranslated,
2569,Instructions/587,,,untranslated,
2570,Instructions/588,,,untranslated,
2571,Instructions/589,,,untranslated,
2572,Instructions/590,,,untranslated,
2573,Instructions/591,,,untranslated,
2574,Instructions/592,,,untranslated,
2575,Instructions/593,,,untranslated,
2576,Instructions/594,,,untranslated,
2577,Instructions/595,,,untranslated,
2578,Instructions/596,,,untranslated,
2579,Instructions/597,,,untranslated,
2580,Instructions/598,,,untranslated,
2581,Instructions/599,,,untranslated,
2582,Instructions/600,,,untranslated,
2583,Instructions/601,,,untranslated,
2584,Instructions/602,,,untranslated,
2585,Instructions/603,,,untranslated,
2586,Instructions/604,,,untranslated,
2587,Instructions/605,,,untranslated,
2588,Instructions/606,,,untranslated,
2589,Instructions/607,,,untranslated,
2590,Instructions/608,,,untranslated,
2591,Instructions/609,,,untranslated,
2592,Instructions/610,,,untranslated,
2593,Instructions/611,,,untranslated,
2594,Instructions/612,,,untranslated,
2595,Instructions/613,,,untranslated,
2596,Instructions/614,,,untranslated,
2597,Instructions/615,,,untranslated,
2598,Instructions/616,,,untranslated,
